halo, total_mass, baryon_mass, particle_mass, star_mass 
[8221, 75139971.7843 Msun, 63038243.2981 Msun, 12101728.4862 Msun, 0]
[8222, 10276492.9589 Msun, 23639.6580539 Msun, 10252853.3008 Msun, 0]
[8223, 12642758.1509 Msun, 36790.9777413 Msun, 12605967.1731 Msun, 0]
[8224, 13961694.1186 Msun, 11090.4470008 Msun, 13950603.6716 Msun, 0]
[8225, 67216827.1745 Msun, 3178513.93501 Msun, 64038313.2395 Msun, 0]
[8226, 12281125.8649 Msun, 11317.8163735 Msun, 12269808.0485 Msun, 0]
[8227, 12279944.0491 Msun, 10136.0006038 Msun, 12269808.0485 Msun, 0]
[8228, 11613145.1639 Msun, 15655.3645852 Msun, 11597489.7993 Msun, 0]
[8229, 10090943.8679 Msun, 6170.12943248 Msun, 10084773.7385 Msun, 0]
[8230, 9931523.63532 Msun, 14829.4591214 Msun, 9916694.1762 Msun, 0]
[8231, 10268983.8499 Msun, 16130.5490484 Msun, 10252853.3008 Msun, 0]
[8232, 13014733.6959 Msun, 72607.3981201 Msun, 12942126.2978 Msun, 0]
[8233, 17860482.5 Msun, 44048.8952847 Msun, 17816433.6047 Msun, 0]
[8234, 12198624.1387 Msun, 96895.6524865 Msun, 12101728.4862 Msun, 0]
[8235, 10094526.3785 Msun, 9752.64003796 Msun, 10084773.7385 Msun, 0]
[8236, 10620845.8305 Msun, 31833.4050317 Msun, 10589012.4254 Msun, 0]
[8237, 11657023.5101 Msun, 59533.7108396 Msun, 11597489.7993 Msun, 0]
[8238, 9936264.94313 Msun, 19570.7669289 Msun, 9916694.1762 Msun, 0]
[8239, 12633080.0722 Msun, 27112.8990655 Msun, 12605967.1731 Msun, 0]
[8240, 10258249.0965 Msun, 5395.79569771 Msun, 10252853.3008 Msun, 0]
[8241, 12962452.5206 Msun, 188405.785152 Msun, 12774046.7354 Msun, 0]
[8242, 33744943.4363 Msun, 465190.099196 Msun, 33279753.3371 Msun, 0]
[8243, 9928828.75174 Msun, 12134.5755365 Msun, 9916694.1762 Msun, 0]
[8244, 10719676.6264 Msun, 130664.200956 Msun, 10589012.4254 Msun, 0]
[8245, 12308033.8337 Msun, 38225.7851471 Msun, 12269808.0485 Msun, 0]
[8246, 9941682.85748 Msun, 24988.6812833 Msun, 9916694.1762 Msun, 0]
[8247, 13405711.2357 Msun, 127425.813284 Msun, 13278285.4224 Msun, 0]
[8248, 10258614.9837 Msun, 5761.68290718 Msun, 10252853.3008 Msun, 0]
[8249, 10439965.0464 Msun, 19032.1832781 Msun, 10420932.8631 Msun, 0]
[8250, 11101849.897 Msun, 176678.346985 Msun, 10925171.5501 Msun, 0]
[8251, 9927144.1241 Msun, 10449.9479044 Msun, 9916694.1762 Msun, 0]
[8252, 11955749.2157 Msun, 22100.2917579 Msun, 11933648.9239 Msun, 0]
[8253, 12644351.9538 Msun, 38384.7806165 Msun, 12605967.1731 Msun, 0]
[8254, 84107392.0748 Msun, 1065908.18237 Msun, 83041483.8924 Msun, 688681124697273519963243714163857424384L]
[8255, 11285527.5275 Msun, 24196.8528087 Msun, 11261330.6747 Msun, 0]
[8256, 14582065.3319 Msun, 127222.973355 Msun, 14454842.3585 Msun, 0]
[8257, 9919455.36995 Msun, 2761.19375383 Msun, 9916694.1762 Msun, 0]
[8258, 14861554.7197 Msun, 238632.798815 Msun, 14622921.9208 Msun, 0]
[8259, 12906640.9218 Msun, 132594.186398 Msun, 12774046.7354 Msun, 0]
[8260, 12272971.4164 Msun, 3163.36784836 Msun, 12269808.0485 Msun, 0]
[8261, 11118076.3943 Msun, 24825.2819878 Msun, 11093251.1124 Msun, 0]
[8262, 9777238.26946 Msun, 28623.6555728 Msun, 9748614.61389 Msun, 0]
[8263, 13764574.1221 Msun, 318209.137375 Msun, 13446364.9847 Msun, 0]
[8264, 9753020.98395 Msun, 4406.37005857 Msun, 9748614.61389 Msun, 0]
[8265, 11952690.7587 Msun, 19041.8347682 Msun, 11933648.9239 Msun, 0]
[8266, 11295534.3118 Msun, 34203.6370879 Msun, 11261330.6747 Msun, 0]
[8267, 9590973.85583 Msun, 10438.8042418 Msun, 9580535.05158 Msun, 0]
[8268, 12064711.622 Msun, 299142.260454 Msun, 11765569.3616 Msun, 0]
[8269, 11865343.468 Msun, 99774.1064468 Msun, 11765569.3616 Msun, 0]
[8270, 18632605.8751 Msun, 143854.02119 Msun, 18488751.8539 Msun, 0]
[8271, 9924107.92664 Msun, 7413.75043982 Msun, 9916694.1762 Msun, 0]
[8272, 10461425.1515 Msun, 40492.288388 Msun, 10420932.8631 Msun, 0]
[8273, 9923049.09366 Msun, 6354.91746337 Msun, 9916694.1762 Msun, 0]
[8274, 10452682.247 Msun, 31749.3838983 Msun, 10420932.8631 Msun, 0]
[8275, 9923653.29959 Msun, 6959.12339005 Msun, 9916694.1762 Msun, 0]
[8276, 12829909.3011 Msun, 55862.5656471 Msun, 12774046.7354 Msun, 0]
[8277, 10271970.1974 Msun, 19116.8965906 Msun, 10252853.3008 Msun, 0]
[8278, 11277102.33 Msun, 15771.6553164 Msun, 11261330.6747 Msun, 0]
[8279, 10296542.8862 Msun, 43689.5854162 Msun, 10252853.3008 Msun, 0]
[8280, 9796954.60503 Msun, 48339.9911399 Msun, 9748614.61389 Msun, 0]
[8281, 9751024.36022 Msun, 2409.746324 Msun, 9748614.61389 Msun, 0]
[8282, 10029968.7576 Msun, 113274.581371 Msun, 9916694.1762 Msun, 0]
[8283, 11867265.5179 Msun, 101696.156332 Msun, 11765569.3616 Msun, 0]
[8284, 11946580.2807 Msun, 12931.3567967 Msun, 11933648.9239 Msun, 0]
[8285, 10264548.9425 Msun, 11695.6417136 Msun, 10252853.3008 Msun, 0]
[8286, 9583048.69377 Msun, 2513.64218553 Msun, 9580535.05158 Msun, 0]
[8287, 9926688.98087 Msun, 9994.80467145 Msun, 9916694.1762 Msun, 0]
[8288, 71996358.5987 Msun, 2747578.92756 Msun, 69248779.6711 Msun, 0]
[8289, 11446563.2178 Msun, 17152.9808536 Msun, 11429410.237 Msun, 0]
[8290, 11802706.7526 Msun, 37137.3909721 Msun, 11765569.3616 Msun, 0]
[8291, 11143546.7209 Msun, 554534.295511 Msun, 10589012.4254 Msun, 0]
[8292, 11777179.6416 Msun, 11610.2800145 Msun, 11765569.3616 Msun, 0]
[8293, 10092045.0388 Msun, 7271.30028232 Msun, 10084773.7385 Msun, 0]
[8294, 12813827.679 Msun, 39780.9435113 Msun, 12774046.7354 Msun, 0]
[8295, 12042738.174 Msun, 277168.812416 Msun, 11765569.3616 Msun, 0]
[8296, 9794360.54495 Msun, 45745.9310575 Msun, 9748614.61389 Msun, 0]
[8297, 11973225.6122 Msun, 39576.6883001 Msun, 11933648.9239 Msun, 0]
[8298, 9955223.45186 Msun, 38529.2756583 Msun, 9916694.1762 Msun, 0]
[8299, 84270377.3439 Msun, 734834.876592 Msun, 83535542.4673 Msun, 0]
[8300, 9920118.42665 Msun, 3424.25044688 Msun, 9916694.1762 Msun, 0]
[8301, 11441820.4449 Msun, 12410.2079462 Msun, 11429410.237 Msun, 0]
[8302, 10427386.5565 Msun, 6453.69333492 Msun, 10420932.8631 Msun, 0]
[8303, 9994268.87692 Msun, 77574.7007187 Msun, 9916694.1762 Msun, 0]
[8304, 10008849.7382 Msun, 428314.6866 Msun, 9580535.05158 Msun, 0]
