halo, total_mass, baryon_mass, particle_mass, star_mass 
[166, 7.94954398339e+11 Msun, 1.65021879032e+11 Msun, 6.29932519307e+11 Msun, 0]
[167, 4.74792337823e+11 Msun, 43133660658.2 Msun, 4.31658677164e+11 Msun, 0]
[168, 1.2144010247e+12 Msun, 2.25097166511e+11 Msun, 9.8930385819e+11 Msun, 0]
[169, 5.70265025972e+11 Msun, 89037888272.1 Msun, 4.812271377e+11 Msun, 0]
[170, 3.94829897632e+11 Msun, 57488985653.7 Msun, 3.37340911979e+11 Msun, 0]
[171, 5.4323632767e+11 Msun, 51682427358.4 Msun, 4.91553900312e+11 Msun, 0]
[172, 4.64335554109e+11 Msun, 65034066461.0 Msun, 3.99301487648e+11 Msun, 0]
[173, 5.7550327516e+11 Msun, 70180358032.9 Msun, 5.05322917127e+11 Msun, 0]
[174, 4.17589487598e+11 Msun, 60971952078.3 Msun, 3.5661753552e+11 Msun, 0]
[175, 3.22933301326e+11 Msun, 20703382226.7 Msun, 3.02229919099e+11 Msun, 0]
[176, 4.80434021105e+11 Msun, 57725204870.7 Msun, 4.22708816234e+11 Msun, 0]
[177, 1.43109162412e+12 Msun, 2.51775333876e+11 Msun, 1.17931629024e+12 Msun, 0]
[178, 7.25307140985e+11 Msun, 47183062824.4 Msun, 6.78124078161e+11 Msun, 0]
[179, 2.59046161719e+12 Msun, 5.26485996556e+11 Msun, 2.06397562064e+12 Msun, 0]
[180, 4.15247791405e+11 Msun, 36599828980.5 Msun, 3.78647962425e+11 Msun, 0]
[181, 2.86919222731e+11 Msun, 23242550715.6 Msun, 2.63676672016e+11 Msun, 0]
[182, 3.06888893557e+11 Msun, 32197008089.2 Msun, 2.74691885468e+11 Msun, 0]
[183, 1.13269794514e+12 Msun, 1.84012686554e+11 Msun, 9.48685258585e+11 Msun, 0]
[184, 1.18993590115e+12 Msun, 2.21285568179e+11 Msun, 9.68650332967e+11 Msun, 0]
[185, 5.33902633115e+11 Msun, 62313807185.9 Msun, 4.71588825929e+11 Msun, 0]
[186, 1.8975816935e+12 Msun, 2.83852922725e+11 Msun, 1.61372877077e+12 Msun, 0]
[187, 4.02964608913e+11 Msun, 50477778437.4 Msun, 3.52486830476e+11 Msun, 0]
[188, 5.81498786718e+11 Msun, 54833893526.5 Msun, 5.26664893191e+11 Msun, 0]
[189, 1.34969559108e+12 Msun, 2.81219886205e+11 Msun, 1.06847570488e+12 Msun, 0]
[190, 6.45898541461e+11 Msun, 77238146982.6 Msun, 5.68660394478e+11 Msun, 0]
[191, 4.05716263256e+11 Msun, 29133653353.7 Msun, 3.76582609903e+11 Msun, 0]
[192, 2.86874094987e+11 Msun, 30081931378.5 Msun, 2.56792163608e+11 Msun, 0]
[193, 2.54307484976e+11 Msun, 11284338183.5 Msun, 2.43023146793e+11 Msun, 0]
[194, 7.04048189188e+11 Msun, 99588350989.2 Msun, 6.04459838198e+11 Msun, 0]
[195, 5.59523059629e+11 Msun, 76230569406.3 Msun, 4.83292490222e+11 Msun, 0]
[196, 1.91315218879e+12 Msun, 3.62760895374e+11 Msun, 1.55039129342e+12 Msun, 0]
[197, 3.92602221837e+11 Msun, 30477079590.6 Msun, 3.62125142246e+11 Msun, 0]
[198, 3.03999959552e+11 Msun, 26690549534.8 Msun, 2.77309410017e+11 Msun, 16121731255840784081171420931101180775366656L]
[199, 3.92464449946e+11 Msun, 28273955176.8 Msun, 3.64190494769e+11 Msun, 0]
[200, 3.15266324869e+11 Msun, 19920914178.0 Msun, 2.95345410691e+11 Msun, 0]
[201, 4.1266738941e+11 Msun, 61557460616.2 Msun, 3.51109928794e+11 Msun, 0]
[202, 3.56476396179e+11 Msun, 21889287563.7 Msun, 3.34587108616e+11 Msun, 0]
[203, 2.10766104556e+12 Msun, 2.72251104064e+11 Msun, 1.8354099415e+12 Msun, 0]
[204, 4.36601467579e+11 Msun, 50380545905.6 Msun, 3.86220921673e+11 Msun, 0]
[205, 5.53849874997e+11 Msun, 69868933933.5 Msun, 4.83980941063e+11 Msun, 0]
[206, 3.61951999974e+11 Msun, 30807145562.0 Msun, 3.31144854412e+11 Msun, 0]
[207, 4.37071982479e+11 Msun, 48785708283.3 Msun, 3.88286274196e+11 Msun, 0]
[208, 7.09683355441e+11 Msun, 1.17615632376e+11 Msun, 5.92067723064e+11 Msun, 0]
[209, 2.51513645555e+11 Msun, 23636417259.7 Msun, 2.27877228296e+11 Msun, 0]
[210, 3.07671562524e+11 Msun, 30914324533.4 Msun, 2.76757237991e+11 Msun, 0]
[211, 8.03018859974e+11 Msun, 1.3177929022e+11 Msun, 6.71239569753e+11 Msun, 0]
